model,iteration,test_log_loss
sklearn GradientBoostingClassifier,63,0.10457660350443293
sklearn GradientBoostingClassifier,64,0.10263389058008852
sklearn GradientBoostingClassifier,65,0.10265945965585968
sklearn GradientBoostingClassifier,66,0.1018946456930741
sklearn GradientBoostingClassifier,67,0.1022083832400596
sklearn GradientBoostingClassifier,68,0.1017611251128408
sklearn GradientBoostingClassifier,69,0.10097138672672142
sklearn GradientBoostingClassifier,70,0.10081017194698456
sklearn GradientBoostingClassifier,71,0.10143271755653772
sklearn GradientBoostingClassifier,72,0.09982782356750794
sklearn GradientBoostingClassifier,73,0.09894283400304224
sklearn GradientBoostingClassifier,74,0.09966326748663372
sklearn GradientBoostingClassifier,75,0.09799459047239846
sklearn GradientBoostingClassifier,76,0.09646159947284974
sklearn GradientBoostingClassifier,77,0.09847386698973372
sklearn GradientBoostingClassifier,78,0.0978998415332759
sklearn GradientBoostingClassifier,79,0.09824724383560426
sklearn GradientBoostingClassifier,80,0.09805534035452808
sklearn GradientBoostingClassifier,81,0.09850765135581054
sklearn GradientBoostingClassifier,82,0.09859556144117293
sklearn GradientBoostingClassifier,83,0.09861446959425545
sklearn GradientBoostingClassifier,84,0.09931471065320188
sklearn GradientBoostingClassifier,85,0.09909232097727746
sklearn GradientBoostingClassifier,86,0.09888120134099707
sklearn GradientBoostingClassifier,87,0.09890843785576105
sklearn GradientBoostingClassifier,88,0.10023779366407122
sklearn GradientBoostingClassifier,89,0.10100261621545804
sklearn GradientBoostingClassifier,90,0.10084853695302218
sklearn GradientBoostingClassifier,91,0.10211009373789148
sklearn GradientBoostingClassifier,92,0.10198624789838764
sklearn GradientBoostingClassifier,93,0.10277982037156318
sklearn GradientBoostingClassifier,94,0.10330090105810631
sklearn GradientBoostingClassifier,95,0.10299575916060408
sklearn GradientBoostingClassifier,96,0.10337368965094981
sklearn GradientBoostingClassifier,97,0.10278027268059545
sklearn GradientBoostingClassifier,98,0.10428516452855077
sklearn GradientBoostingClassifier,99,0.10476721291741414
sklearn GradientBoostingClassifier,100,0.103242936067367
sklearn GradientBoostingClassifier,101,0.10357069410639436
sklearn GradientBoostingClassifier,102,0.1036470182831349
sklearn GradientBoostingClassifier,103,0.10366615567723872
sklearn GradientBoostingClassifier,104,0.10309283307960908
sklearn GradientBoostingClassifier,105,0.10233688113593167
sklearn GradientBoostingClassifier,106,0.10270136570582408
sklearn GradientBoostingClassifier,107,0.10275687117100907
sklearn GradientBoostingClassifier,108,0.10196941766760824
sklearn GradientBoostingClassifier,109,0.10152731547279109
sklearn GradientBoostingClassifier,110,0.10131117808087198
sklearn GradientBoostingClassifier,111,0.10213276460098558
sklearn GradientBoostingClassifier,112,0.10193660246995011
sklearn GradientBoostingClassifier,113,0.10206065696853753
sklearn GradientBoostingClassifier,114,0.10322096233570836
sklearn GradientBoostingClassifier,115,0.10278760368008061
sklearn GradientBoostingClassifier,116,0.10296103543681294
sklearn GradientBoostingClassifier,117,0.10202241340275794
sklearn GradientBoostingClassifier,118,0.10205130915663502
sklearn GradientBoostingClassifier,119,0.10423678826731239
sklearn GradientBoostingClassifier,120,0.10286620215767665
